ra,dec,Source_Name,Fx(uJy),SIMBAD_Name,Final_Type
308.06375,37.6375, 2030+375       ,0.5,V* V2246 Cyg,HMXB
308.1070833,40.95777778, 2030+407       ,90,V* V1521 Cyg,HMXB
307.6275,47.86277778,J2030.5+4751    ,0.04,BD+47  3129,HMXB
314.75,41.71666667,J2058+42        ,320,GRO J2058+42,HMXB
315.8875,45.75,J2103.5+4545    ,20,GSC 03588-00834,HMXB
324.8916667,57.06, 2138+568       ,6,V* V490 Cep,HMXB
330.4091667,50.16777778, 2202+501       ,0.7,BD+49  3718,HMXB
331.9875,54.51833333, 2206+543       ,0.6,BD+53  2790,HMXB
336.6379167,61.23805556, 2214+589       ,0.5, 2214+589       ,Unknown
339.8370833,61.27411111,J2239.3+6116    ,16,4U 2238+60,HMXB
11.21,33.02138889, 0042+323       ,0.5,4U 0042+32,LMXB
64.62458333,32.79,J0422+32        ,3000,CRTS J041848.7+324724,EB*
78.5275,-40.04361111, 0512-401       ,3,4U 0513-40,LMXB
80.12166667,-71.96, 0521-720       ,9,X LMC X-2,LMXB
83.17833333,-69.43833333,J0532.7-6926    ,0.5,EROS2-star lm002-3k-6017,LPV*
94.28041667,9.13694444, 0614+091       ,50,V* V1055 Ori,LMXB
95.68541667,-0.34583333, 0620-003       ,0.02,1A 0620-00,HMXB
104.6125,-7.26388889, 0656-072       ,20,2E  1752,HMXB
117.1408333,-67.7525, 0748-676       ,0.1,V* UY Vol,LMXB
128.9833333,51.31,J0835.9+5118    ,6,SAX J0835.9+5118,LMXB
129.3458333,-42.88583333, 0836-429       ,1,4U 0836-42,LMXB
140.1116667,-55.20666667, 0918-549       ,10,4U 0919-54,LMXB
140.6445833,-63.295, 0921-630       ,3,V* V395 Car,LMXB
153.4,-45.07638889, 1009-45        ,800,V* MM Vel,HMXB
169.5452083,48.03691667,J1118+480       ,40,V* KV UMa,HMXB
171.61125,-68.67583333, 1124-684       ,4,V* GU Mus,HMXB
194.405,-69.28916667, 1254-690       ,25,V* GR Mus,LMXB
201.6504167,-62.13611111, 1323-619       ,7,4U 1323-62,LMXB
209.5404167,-64.73472222, 1354-645       ,5,V* BW Cir,HMXB
224.5916667,-31.66888889, 1455-314       ,0.1,V* V822 Cen,LMXB
230.1704167,-57.16694444, 1516-569       ,5,V* BR Cir,HMXB
232.0716667,-61.88277778, 1524-617       ,5,V* KY TrA,LMXB
236.7858333,-47.66944444, 1543-475       ,1,V* IL Lup,HMXB
236.9783333,-62.56805556, 1543-624       ,35,V* QU TrA,LMXB
237.7449167,-56.47638889,J1550-564       ,600,V* V381 Nor,HMXB
240.2595833,-60.73805556, 1556-605       ,16,V* LU TrA,LMXB
241.4408333,25.8625, 1603.6+2600    ,0.15,V* UW CrB,LMXB
240.975,-77.885,J1603.9-7753    ,160,J1603.9-7753    ,Unknown
243.1791667,-52.42305556, 1608-522       ,1,V* QX Nor,LMXB
244.9795833,-15.64027778, 1617-155       ,14000,V* V818 Sco,LMXB
247.01,-49.19027778, 1624-490       ,55,4U 1624-49,LMXB
248.07,-67.46194444, 1627-673       ,25,V* KZ TrA,LMXB
248.5016667,-47.39416667, 1630-472       ,2,X Nor X-1,LMXB
249.1166667,-47.82694444, 1632-477       ,13,INTREF   709,LMXB
250.23125,-53.75138889, 1636-536       ,220,V* V801 Ara,LMXB
251.44875,-45.61111111, 1642-455       ,500,4U 1642-45,LMXB
253.5005708,-39.84580556,J1655-40        ,1600,V* V1033 Sco,HMXB
254.4575,35.3425, 1656+354       ,15,V* HZ Her,LMXB
255.52625,-29.94583333, 1658-298       ,5,MXB 1658-298,LMXB
255.70625,-48.78972222, 1659-487       ,1.5,V* V821 Ara,HMXB
256.4354167,-36.42277778, 1702-363       ,825,V* V1101 Sco,LMXB
256.56375,-43.03611111, 1702-429       ,45,X Ara X-1,LMXB
256.6441667,23.97166667, 1704+240       ,0.5,V* V934 Her,LPV*
257.0608333,-25.09138889, 1705-250       ,2,V* V2107 Oph,HMXB
257.2279167,-44.10055556, 1705-440       ,10,4U 1705-44,LMXB
258.0958333,-40.84333333, 1708-408       ,32,4U 1708-40,LMXB
257.3758333,-26.6575,J1709-267       ,150,RX J1709.5-2639,LMXB
257.55125,-28.13166667,J1710-281       ,2,[KRL2007b] 225,LMXB
258.58,-34.04944444, 1711-339       ,16,4U 1711-34,LMXB
258.1416667,-37.64333333,J1712.6-3739    ,34,[KRL2007b] 228,LMXB
259.6975,-32.17777778, 1715-321       ,28,1H 1715-321,LMXB
259.90375,-25.0175, 1716-249       ,1500,V* V2293 Oph,LMXB
259.6005417,-40.49177778,J171824.2-402934,1400,RX J1718.4-4029,LMXB
260.9083333,-37.66166667,J1723-376       ,70,INTREF   776,LMXB
261.9125,-35.73444444, 1724-356       ,32,INTREF   782,LMXB
261.8883333,-30.80194444, 1724-307       ,15,4U 1722-30,LMXB
262.9891667,-33.83472222, 1728-337       ,150,NAME Slow Burster,LMXB
262.9341667,-16.96166667, 1728-169       ,300,V* V2216 Oph,LMXB
263.0091667,-24.74555556, 1728-247       ,100,V* V2116 Oph,Symbiotic*
263.3833333,-31.21666667, 1730-312       ,900,AX J1733.9-3112,LMXB
263.3504167,-33.38777778, 1730-335       ,0.1,[ZGV2011] 9,LMXB
263.4875,-22.03527778, 1730-220       ,10,4U 1730-22,LMXB
263.5541667,-26.08583333, 1731-260       ,10,KS 1731-260,LMXB
263.9483333,-30.48222222, 1732-304       ,10,[ZGV2011] 1,LMXB
264.0083333,-27.42583333, 1732-273       ,5,RX J1735.9-2726,LMXB
264.3541667,-29.18, 1734-292       ,3.4,OGLE BLG-ECL-46766,EB*
264.5666667,-27.00444444, 1735-269       ,10,OGLE BLG-ECL-50820,EB*
264.7429167,-44.45, 1735-444       ,160,V* V926 Sco,LMXB
264.6416667,-28.48333333, 1735-28        ,0.4,4U 1735-28,LMXB
264.8875,-29.72388889, 1736-297       ,2,OGLE BLG-ECL-57098,EB*
264.9833333,-30.98333333, 1737-31        ,26,INTREF   806,LMXB
265.2375,-28.31, 1737-282       ,3,2E 1737.5-2817,LMXB
265.6541667,-27.78305556, 1739-278       ,860,OGLE BLG-ECL-72902,EB*
265.6833333,-30.51416667, 1739-304       ,9,INTREF   814,LMXB
265.9458333,-29.43333333, 1740-294       ,30,NAME GC X-4,LMXB
265.9779167,-29.74527778, 1740.7-2942    ,4,NAME Great Annihilator,LMXB
266.1058333,-29.0125, 1741.2-2859    ,1.5,Ginga 1741.6-2849,LMXB
266.2041667,-29.35166667, 1741-293       ,5,KS 1741-293,LMXB
