Date_Observed,ra,dec,SIMBAD_Name,Source_Type
31-01-2019,53.123708,-27.735364,EIS-DEEP CDFS-1 J 1  171,Star
01-02-2019,237.391917,70.348089,0,0
01-02-2019,51.17125,34.179444,QSO J0324+3410,BLLac
03-02-2019,211.823,6.446,SDSS J140718.55+062637.4,Galaxy
03-02-2019,106.5585,30.233444,0,0
04-02-2019,51.571879,-21.33522,[LB2005] NGC  1332 X1,X
04-02-2019,188.584621,8.19775,NGC  4535,HII_G
04-02-2019,188.46505,19.8866,SDSS J123351.60+195311.7,AGN
05-02-2019,181.039125,20.347806,NGC  4066,GinGroup
05-02-2019,192.063458,17.774011,LEDA   43234,Galaxy
05-02-2019,217.04525,13.55158,[BKD2008] WR 378,PartofG
06-02-2019,214.584258,7.592529,0,0
06-02-2019,175.712375,20.442181,SDSS J114250.97+202631.8,Galaxy
07-02-2019,186.22625,21.382278,4C 21.35,QSO
08-02-2019,186.668708,19.754389,AGC 229361,Galaxy
09-02-2019,12.08,85.223917,Cl* NGC  188    DGV     702,Star
10-02-2019,237.391917,70.348089,0,0
11-02-2019,51.17125,34.179444,QSO J0324+3410,BLLac
13-02-2019,53.123708,-27.735364,EIS-DEEP CDFS-1 J 1  171,Star
19-02-2019,207.053042,-63.274111,MAXI J1348-630,Candidate_HMXB
20-02-2019,53.123708,-27.735364,EIS-DEEP CDFS-1 J 1  171,Star
21-02-2019,118.8554,39.18615,Mrk  382,Seyfert_1
22-02-2019,207.053042,-63.274111,MAXI J1348-630,Candidate_HMXB
22-02-2019,54.752333,29.696,V* V1185 Tau,Irregular_V*
23-02-2019,180.790058,44.53133,NGC  4051,Seyfert_1
26-02-2019,100.72975,55.474233,V* SU Lyn,LPV*
26-02-2019,198.230417,18.169167,Cl* NGC 5024    SAW V61,RRLyr
27-02-2019,216.845142,20.09704,2MASX J14272281+2005493,Seyfert_2
27-02-2019,230.4125,29.125,SDSS J152140.04+290720.8,QSO
28-02-2019,207.053042,-63.274111,MAXI J1348-630,Candidate_HMXB
28-02-2019,225.5375,29.746111,KISS F1500-4625,EmG
01-03-2019,208.457083,-17.610556,UCAC4 362-065278,Star
01-03-2019,128.127208,15.823942,V* FR Cnc,BYDra
03-03-2019,115.60375,-14.591806,Gaia DR2 3029591762195067904,Star
03-03-2019,122.81125,25.19306,[KBE97] 5,HI
03-03-2019,216.845142,20.09704,2MASX J14272281+2005493,Seyfert_2
04-03-2019,128.836062,-45.176432,NAME Vela Pulsar,Pulsar
05-03-2019,237.321667,21.828333,LEDA   56125,GinPair
05-03-2019,219.620833,33.335278,KISS G1437-3866,EmG
06-03-2019,198.230417,18.169167,Cl* NGC 5024    SAW V61,RRLyr
07-03-2019,218.475,42.653611,SDSS J143358.56+423910.3,QSO
07-03-2019,216.6375,43.854167,KISS F1424-1399,EmG
07-03-2019,188.933333,42.856667,0,0
07-03-2019,209.649171,37.43889,NOGG P1  754,GroupG
08-03-2019,205.546779,28.37545,Cl* NGC 5272    DSZ      20,BlueStraggler
08-03-2019,204.159779,20.54248,2MASS J13363835+2032327,AGN
08-03-2019,196.470083,-38.516667,HD 113679,PM*
08-03-2019,194.300865,28.492366,GMP 5025,Galaxy
09-03-2019,183.913333,36.326944,NGC  4228,StarburstG
09-03-2019,237.391917,70.348089,0,0
10-03-2019,187.046258,44.09363,[GHG2001]  1,GlCl
11-03-2019,154.403417,-46.412472,NGC  3201,GlCl
11-03-2019,154.403417,-46.412472,NGC  3201,GlCl
12-03-2019,135.528583,-40.554692,V* GP Vel,HMXB
13-03-2019,154.10215,37.91277,LEDA   29998,EmG
13-03-2019,250.445208,36.543611,NGC  6205   882,Star
14-03-2019,203.974167,-34.295494,ESO 383-35,Seyfert_1
15-03-2019,135.528583,-40.554692,V* GP Vel,HMXB
16-03-2019,154.10215,37.91277,LEDA   29998,EmG
16-03-2019,250.445208,36.543611,NGC  6205   882,Star
17-03-2019,212.633917,39.819878,0,0
18-03-2019,195.040167,27.21375,BD+28  2172,Star
19-03-2019,240.181667,31.17075,0,0
19-03-2019,212.280829,-45.28781,V* V834 Cen,CataclyV*
21-03-2019,288.799121,10.94602,Granat 1915+105,HMXB
24-03-2019,152.388083,23.382167,SDSS J100933.13+232255.7,LINER
24-03-2019,292.065042,19.555978,MR  93,WR*
26-03-2019,170.261979,53.16957,NGC  3631,IG
27-03-2019,265.990969,19.585838,QSO B1741+196,BLLac
30-03-2019,105.048125,-66.040028,2MASX J07001137-6602251,Galaxy
31-03-2019,255.203683,-41.655961,NAME OAO 1657-41,HMXB
01-04-2019,254.757,-15.257981,MAXI J1659-152,LMXB
02-04-2019,267.383083,-28.134944,2XMM J174931.6-280805,LMXB
03-04-2019,143.042121,21.50083,NGC  2905,HII_G
05-04-2019,160.990421,11.70381,M  95,GinPair
05-04-2019,262.082921,-14.26556,[YAZ2019] X1,Radio
10-04-2019,314.698071,41.776994,GRO J2058+42,HMXB
11-04-2019,262.082921,-14.26556,[YAZ2019] X1,Radio
18-04-2019,247.462667,39.766528,UGC 10420,LINER
18-04-2019,235.879167,44.0525,KISS F1541-1297,EmG
18-04-2019,252.320833,59.919167,IRAS F16485+6000,IR
19-04-2019,237.391917,70.348089,0,0
20-04-2019,194.498792,27.995972,LEDA   83707,GinCl
21-04-2019,249.432875,29.727694,0,0
21-04-2019,253.467571,39.760169,4C 39.49,BLLac
23-04-2019,105.048083,-66.040028,2MASX J07001137-6602251,Galaxy
23-04-2019,166.113808,38.20883,Mrk  421,BLLac
28-04-2019,246.608292,-72.268861,TYC 9282-2284-1,Star
28-04-2019,233.738558,23.50314,[SED98] APG 220NE,PartofG
28-04-2019,195.839542,-62.223944,IRAS 13002-6157,Candidate_Ae*
28-04-2019,154.10215,37.91277,LEDA   29998,EmG
29-04-2019,12.08,85.223917,Cl* NGC  188    DGV     702,Star
29-04-2019,246.608292,-72.268861,TYC 9282-2284-1,Star
29-04-2019,233.738558,23.50314,[SED98] APG 220NE,PartofG
29-04-2019,195.839542,-62.223944,IRAS 13002-6157,Candidate_Ae*
29-04-2019,192.7215,41.1202,M  94,Seyfert
30-04-2019,308.107417,40.95775,V* V1521 Cyg,HMXB
01-05-2019,180.472079,-18.87694,CXOU J120153.3-185235,HMXB
01-05-2019,309.78825,-30.755583,2MASX J20390918-3045201,Galaxy
01-05-2019,251.44875,-45.611111,4U 1642-45,LMXB
01-05-2019,179.3668,-19.62406,ESO 572-25,Galaxy
02-05-2019,340.611792,-50.066917,HE 2239-5019,Pec*
