ra,dec,Source_Name,SIMBAD_Name,Final_Type,Astrosat_Flag
262.9891667,-33.83472222, 1728-337       ,NAME Slow Burster,LMXB,1
263.3504167,-33.38777778, 1730-335       ,[ZGV2011] 9,LMXB,0
263.3833333,-31.21666667, 1730-312       ,AX J1733.9-3112,LMXB,0
263.4875,-22.03527778, 1730-220       ,4U 1730-22,LMXB,0
263.5541667,-26.08583333, 1731-260       ,KS 1731-260,LMXB,0
263.9483333,-30.48222222, 1732-304       ,[ZGV2011] 1,LMXB,0
264.0083333,-27.42583333, 1732-273       ,RX J1735.9-2726,LMXB,0
264.6416667,-28.48333333, 1735-28        ,4U 1735-28,LMXB,0
264.7429167,-44.45, 1735-444       ,V* V926 Sco,LMXB,1
264.8754167,-29.70194444,J1739.5-2942    ,RX J1739.4-2942,LMXB,0
264.9833333,-30.98333333, 1737-31        ,INTREF   806,LMXB,0
265.2375,-28.31, 1737-282       ,2E 1737.5-2817,LMXB,0
265.6833333,-30.51416667, 1739-304       ,INTREF   814,LMXB,0
265.9458333,-29.43333333, 1740-294       ,NAME GC X-4,LMXB,0
265.9779167,-29.74527778, 1740.7-2942    ,NAME Great Annihilator,LMXB,0
266.1058333,-29.0125, 1741.2-2859    ,Ginga 1741.6-2849,LMXB,0
266.1379167,-28.74138889,J1744-28        ,3FHL J1746.2-2852,LMXB,0
266.2041667,-29.35166667, 1741-293       ,KS 1741-293,LMXB,0
266.2541667,-28.90166667, 1741.9-2853    ,2XMM J174502.1-285450,LMXB,0
266.3608333,-28.98333333, 1742.2-2857    ,1E 1742.2-2857,LMXB,0
266.3708333,-32.69416667, 1742-326       ,GPS 1742-326,LMXB,0
266.4,-29.02611111,J1745.6-2901    ,[SKM2002] 27,LMXB,0
266.4041667,-29.45, 1742-294       ,[CFS78] GC X-2,LMXB,0
266.4195833,-29.00305556, 1742.5-2859    ,SWIFT J174540.7-290015,LMXB,0
266.42875,-28.78138889, 1742.5-2845    ,1E 1742.5-2845,LMXB,0
266.4704167,-29.05611111, 1742.7-2902    ,1E 1742.7-2902,LMXB,0
266.5,-28.91361111, 1742.8-2853    ,2MASS J17455993-2854498,LMXB,0
266.5204167,-28.88694444, 1742.9-2852    ,1E 1742.9-2852,LMXB,0
266.5258333,-29.51833333, 1742-294       ,2E  3943,LMXB,0
266.5404167,-28.85111111, 1742.9-2849    ,INTREF   837,LMXB,0
266.8570833,-29.99527778, 1744-299       ,AX J1747.4-3000,LMXB,0
266.8579167,-30.04194444, 1744-300       ,1RXS J174725.6-300241,LMXB,0
266.9833333,-26.56361111, 1744-265       ,X Sgr X-1,LMXB,0
267.0210833,-28.47383333,J1748-288       ,AX J1748.0-2829,LMXB,0
267.0558333,-36.13138889, 1744-361       ,[KRL2007b] 281,LMXB,0
267.2225,-20.36194444,J1748.9-2021    ,4U 1745-203,LMXB,0
267.2229167,-20.36722222, 1745-203       ,[ZGV2011] 3,LMXB,0
267.2333333,-24.89444444, 1745-248       ,[ZGV2011] 6,LMXB,0
267.2920833,-27.42111111,J1749.2-2725    ,2XMM J174912.3-272537,HMXB,0
267.3,-26.64722222,J1750-27        ,GRO J1750-27,HMXB,0
267.4608333,-33.19861111, 1746-331       ,RX J1749.8-3312,LMXB,0
267.5145833,-32.42861111, 1746.7-3224    ,2E 1746.7-3225,LMXB,0
267.5529167,-37.05222222, 1746-370       ,4U 1746-371,LMXB,0
267.6,-29.03833333,J1750.8-2900    ,SAX J1750.8-2900,LMXB,1
267.6070833,-21.4225, 1747-214       ,EXO 1747-214,LMXB,0
267.6895833,-31.29222222, 1747-313       ,[ZGV2011] 5,LMXB,0
268.0666667,-28.50611111, 1749-285       ,1RXS J175229.0-282951,LMXB,0
268.1,-31.62833333,J1752.3-3138    ,SAX J1752.3-3138,LMXB,0
268.8691667,-32.4775,J1755-324       ,INTREF   866,LMXB,0
269.6666667,-33.8075, 1755-338       ,V* V4134 Sgr,LMXB,0
270.2841667,-25.07916667, 1758-250       ,4U 1758-25,LMXB,1
270.3029167,-25.74055556, 1758-258       ,2XMM J180112.4-254436,LMXB,0
270.3845833,-20.52888889, 1758-205       ,X Sgr X-3,LMXB,1
