#ra,dec,mag
16.874283333333334,-40.723111111111116,6.35
17.30569722222222,-32.55308333333333,6.36
17.490444444444446,-38.51694444444444,6.38
17.895972222222223,-34.786027777777775,6.38
16.229305555555555,-24.422055555555556,6.4
16.28311111111111,-20.104083333333335,6.4
16.241358333333334,-21.107555555555557,6.41
17.78536111111111,-38.11208333333334,6.41
17.899480555555556,-34.83105555555556,6.41
17.241016666666667,-39.76663888888889,6.42
17.377194444444445,-35.910944444444446,6.42
16.165363888888887,-18.340444444444444,6.43
16.585491666666666,-45.24422222222222,6.43
17.529822222222222,-33.70308333333334,6.43
17.71857222222222,-33.05127777777778,6.44
16.399088888888887,-33.19933333333333,6.45
16.903233333333333,-41.849222222222224,6.45
16.727424999999997,-32.10588888888889,6.46
17.284872222222223,-44.77858333333333,6.46
17.948858333333334,-40.305638888888886,6.46
16.70808611111111,-37.07913888888889,6.47
17.065769444444445,-37.844166666666666,6.48
17.595299999999998,-37.43980555555555,6.48
16.87201388888889,-41.8545,6.49
17.00396111111111,-44.98847222222222,6.5
17.065769444444445,-37.84413888888889,6.51
16.17108888888889,-26.90911111111111,6.57
17.9378,-32.475,6.61
16.972152777777776,-33.60911111111111,6.61
17.699730555555554,-33.50380555555556,6.66
16.780930555555553,-25.52852777777778,6.72
17.37957777777778,-45.61427777777778,6.74
16.412144444444444,-34.89375,7.05
16.142858333333333,-39.10508333333333,7.05
16.031944444444445,-21.980277777777776,7.18
17.317205555555557,-34.992583333333336,7.24
17.649869444444445,-43.1455,7.27
16.334858333333333,-20.05638888888889,7.37
17.075241666666667,-43.309777777777775,7.39
17.048283333333334,-38.46022222222223,7.42
17.842316666666665,-33.70566666666667,7.51
16.898766666666667,-41.88091388888889,7.57
17.813222222222223,-35.05822222222222,7.59
16.899997222222222,-41.714666666666666,7.61
17.704669444444445,-32.52322222222222,7.85
17.51343888888889,-33.61,7.91
17.51343888888889,-33.61,7.96
17.18806111111111,-32.32519444444445,8.1
16.193458333333332,-27.078166666666668,8.12
16.116097222222223,-27.719388888888886,8.19
16.905513888888887,-41.83594444444444,8.23
16.07670277777778,-24.100166666666667,8.3
17.509266666666665,-33.65441666666666,8.57
17.81041666666667,-30.47597222222222,8.81
15.94445,-22.02777777777778,8.86
17.948766666666668,-34.75033333333333,8.86
16.21988611111111,-22.485194444444446,8.86
17.573475,-32.504444444444445,8.97
16.912458333333333,-36.8885,9.0
17.114975,-42.661027777777775,9.03
17.84398611111111,-40.318361111111116,9.12
16.36527777777778,-20.71861111111111,9.15
16.860708333333335,-45.42669444444444,9.33
17.66146111111111,-32.299277777777775,9.34
17.306405555555557,-34.4085,9.35
17.632916666666667,-35.38453333333333,9.83
17.938491666666668,-33.81205555555555,9.98
17.31630277777778,-34.99675,10.22
17.41205833333333,-34.19902777777777,10.43
17.617683333333336,-44.31922222222222,10.95
16.392733333333332,-39.2295,11.03
16.33196388888889,-15.640222222222222,11.1
16.211602777777777,-18.8755,11.34
16.985219444444446,-42.70238888888889,11.43
15.99748611111111,-28.06175,11.59
16.911399999999997,-30.385194444444444,11.7
16.284119444444446,-22.97536111111111,12.0
16.192055555555555,-18.640138888888888,12.05
16.143383333333333,-39.384027777777774,12.5
16.158419444444444,-21.082666666666665,12.97
17.330369444444443,-39.17719444444444,13.1
16.91443888888889,-30.62172222222222,13.25
16.900038888888886,-39.84580555555556,14.2
17.653216666666665,-30.343777777777778,14.8
17.905277777777776,-30.377222222222223,15.7
16.141591666666667,-39.05305555555555,16.42
17.649527777777777,-44.45,17.4
17.69311111111111,-30.111,17.8
17.12151111111111,-43.25611111111111,18.0
17.488558333333334,-31.767083333333332,18.0
17.214225,-30.943666666666665,18.0
17.095691666666667,-36.42308333333333,18.6
16.375222222222224,-17.878666666666668,19.3
17.92285277777778,-33.26625,19.3
17.835833333333333,-34.67305555555555,19.5
16.961363888888886,-32.343444444444444,20.0
17.95917222222222,-30.719555555555555,20.4
16.39395,-26.53161111111111,21.3
17.087369444444445,-34.778055555555554,23.38
